role,resource,id,type,dimension,category,region,data_name,year_published,year_target,provider,method_description_data,method_description_ind,sdg,data_file,excel_sheet,data_type,data_encoding,epsg,source_url,date_acquired,licence,licence_url,resolution,areas,map_field,evaluate,units,aggregation,target,fill_na,rate,point_overlay_xy,point_overlay_name,point_overlay_hover_field,raster_band,scale_factor,raster_range,raster_mult,raster_offset,raster_statistic,raster_nodata,plot,citations,notes
boundaries,Bangkok subdistrict boundaries (2019),boundaries,data,Study region boundaries,data,Bangkok,Study region boundaries,2018,2018,BangkokGIS (BMA),"Bangkok subdistrict boundary data (BMA, 2019) were topologically corrected using GRASS and QGIS, to ensure polygon boundaries did not have gaps or overlaps.  Boundaries were matched with alternate spellings in both Thai and English for corresponding regions found in data from other organisations  and datasets  (e.g. NSO, HDX) in order to facilitate data linkage.   The final boundary layer was returned to BMA and agreed upon for usage. ","District and changwat boundaries were constructed through geometrical union of the constituent subdistricts they were aligned with.  Boundaries at all three scales (subdistrict, district, changwat) were imported into the project database and used as analysis areas when constructing other indicators, as required.  The area in square kilometres of each analysis area's polygonal extent was recorded.   The changwat (province) of Bangkok was used to define the Bangkok metropolitan study region extent.  A ten kilometre buffer extending beyond this is used when conducting analyses of access to resources, so that access to destinations outside the study region would be accounted for peri-urban regions when undertaking network analysis.  ",,./data/Bangkok_subdistricts_BMA_HLC_derived_20190805_cleaned_final.gpkg:subdistricts,,vector,,32647,http://www.bangkokgis.com/bangkokgis_2008/userfiles/files/download/shapefile/administration/BMASubDistrict_Polygon.rar,20190725,none specified,,subdistrict,,,,,,,,,,,,,,,,,,,,,"English names not provided; these have been derived using manual linkage with data from HDX subdistricts and population data provided by BMA, with verification from Kornsupha Nitvimol of BMA."
methods,Bangkok liveability method,documentation:framework,documentation,,,Bangkok,Method,2019,2019,OpenStreetMap,"A workflow for generating liveability measure and associated maps, plots, indicators and reporting was developed using a self-contained software ecosystem (using Docker, https://www.docker.com ).  Through this approach, a defined set of required open source software is installed in a Docker 'container', which allows the Liveability Indicator workflow to be run by users on a broad range of computers.  Project parameters, resources and indicators to be calculated are defined in an Excel configuration file.   ","A series of preliminary scripts are run in order to: create a project database, define the study region boundaries, create the population, collate the OpenStreetMap resources, set up a routable street network and create sample points for evaluating network access.",,./data/International/OSM/thailand-latest.20191007.osm.pbf,,,,,https://download.geofabrik.de/asia/thailand-latest.osm.pbf,20191007,ODbL,https://wiki.osmfoundation.org/wiki/Licence,vector,,,,,,,,,,,,,,,,,,,,,User contributed data; Please note licence implications involving usage of OSM data when combined with other data sets
methods,OpenStreetMap (2019),documentation:openstreetmap,documentation,,,Bangkok,OpenStreetMap,2019,2019,OpenStreetMap,An excerpt of OpenStreetMap data for Thailand was retrieved on 7 October 2019 using the Geofabrik service.  ,"Data within 10km of the Bangkok metropolitan boundary were imported to a Postgis SQL database using the osm2pgsql tool, as point, line and polygon features projected using the EPSG 32647 spatial reference.  ",,./data/International/OSM/thailand-latest.20191007.osm.pbf,,,,,https://download.geofabrik.de/asia/thailand-latest.osm.pbf,20191007,ODbL,https://wiki.osmfoundation.org/wiki/Licence,vector,,,,,,,,,,,,,,,,,,,,,User contributed data; Please note licence implications involving usage of OSM data when combined with other data sets
methods,Bangkok street network (2019),documentation:network,documentation,,,Bangkok,Street network,2019,2019,OpenStreetMap,"OpenStreetmap data (see OpenStreetMap section) within 10km of the Bangkok metropolitan boundary were retrieved via the Overpass API using the Python OSMnx module to process a routable pedestrian network using a custom filter to exclude locations not suitable for pedestrian or cycling public access (e.g. freeways, and private roads).  A dataset of 'cleaned intersections' for evaluating street connectivity (intersections per square kilometre) was derived, using a simplification tolerance of 12 metres.  ","The routable network was saved as a GraphML xml file.  Network 'edges' (road segments), 'nodes' (intersections) and the cleaned intersections were imported as spatial features to a PostGIS database.",,,,,,,https://geoffboeing.com/publications/osmnx-complex-street-networks/,20191007,ODbL,https://wiki.osmfoundation.org/wiki/Licence,vector,,,,,,,,,,,,,,,,,,,,"Boeing, G. 2017. “OSMnx: New Methods for Acquiring, Constructing, Analyzing, and Visualizing Complex Street Networks.” Computers, Environment and Urban Systems 65, 126-139. doi:10.1016/j.compenvurbsys.2017.05.004",User contributed data; Please note licence implications involving usage of OSM data when combined with other data sets
population,population (2019),population:subdistrict,data,Population and communities,data,Bangkok,Population and communities,2019,2018,BMA,"Population statistics targetting Bangkok in 2018 were received from the Bangkok Metropolitan Administration, indexed by subdistrict. Fields included total population, sex strata, household, number of communities, and population in communities.  ",Population data were linked with boundaries using corresponding subdistrict ID numbers.  Density measures were calculated using population statistics relative to analysis area size. ,,./data/Bangkok_subdistrict_population_BMA_HLC_derived_20190808.csv,,,,,http://www.bangkok.go.th,20190805,none specified,,subdistrict,,,,#,,,,,,,,,,,,,,,,,Derived population layer based on data received from Korn Nitviminol (BMA) via e-mail on 5 August 2019
indicators,Canal water storage DO (mg/L; 2018),water_quality_do,linkage,City problems impacting health and wellbeing,Water quality/pollution,Bangkok,Canal water quality,2019,2018,"Department of Drainage and Sewerage, BMA",Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  The data comprised sample point records of canal water quality for 130 canals where Dissolved Oxygen (DO) less than 2 amount 130 canals (224 storage points).  Data were cleaned for processing and aligned with area IDs. ,The average milligrams of dissolved oxygen per litre (DO mg/L) recorded at sample points within each analysis area was recorded.,"3, 6, 9, 11, 12, 14",./data/Thai/_from BMA/20190617/canal water quality 2018_final.xlsx,cleaned,float,,,,20190617,none specified,,area summary,district,DO (mg/l),,mg/l,average,,khlong_en,,,,,,,,,,,,,,
indicators,Canal water storage BOD (mg/L; 2018),water_quality_bod,linkage,City problems impacting health and wellbeing,Water quality/pollution,Bangkok,Canal water quality,2019,2018,"Department of Drainage and Sewerage, BMA",Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  The data comprised sample point records of canal water quality for 130 canals where Dissolved Oxygen (DO) less than 2 amount 130 canals (224 storage points).  Data were cleaned for processing and aligned with area IDs. ,The average milligrams of biochemical oxygen demand  per litre (BOD mg/L) recorded at sample points within each analysis area was recorded.,"3, 6, 9, 11, 12, 14",./data/Thai/_from BMA/20190617/canal water quality 2018_final.xlsx,cleaned,float,,,,20190617,none specified,,area summary,district,BOD (mg/l),,mg/l,average,,khlong_en,,,,,,,,,,,,,,
indicators,"Canal water storage sample locations, 2018",water_quality_canals_poor,linkage,City problems impacting health and wellbeing,Water quality/pollution,Bangkok,Canal water quality,2019,2018,"Department of Drainage and Sewerage, BMA",Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  The data comprised sample point records of canal water quality for 130 canals where Dissolved Oxygen (DO) less than 2 amount 130 canals (224 storage points).  Data were cleaned for processing and aligned with area IDs. ,The count of sample points with poor water quality (< 2 DO mg/L) was recorded for each analysis area.,"3, 6, 9, 11, 12, 14",./data/Thai/_from BMA/20190617/canal water quality 2018_final.xlsx,cleaned,float,,,,20190617,none specified,,area summary,district,DO (mg/l),,#,count,,khlong_en,"overall, area:1, population:10000, household:10000",,,,,,,,,,,,,
indicators,Canal water storage BOD < 6 mg/L (2018),water_quality_bod_less_than_6mg_l,linkage,City problems impacting health and wellbeing,Water quality/pollution,Bangkok,Canal water quality,2019,2018,"Department of Drainage and Sewerage, BMA",Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  The data comprised sample point records of canal water quality for 130 canals where Dissolved Oxygen (DO) less than 2 amount 130 canals (224 storage points).  Data were cleaned for processing and aligned with area IDs. ,The percentage of sample locations with  biochemical oxygen demand  less than 6  mg/L recorded within each analysis area was recorded.,"3, 6, 9, 11, 12, 14",./data/Thai/_from BMA/20190617/canal water quality 2018_final.xlsx,cleaned,float,,,,20190617,none specified,,area summary,district,BOD (mg/l),< 6,%,percent,>=80,khlong_en,,,,,,,,,,,,,,
indicators,Number of main road of traffic jams (2018),main_road_traffic_jam,linkage,City problems impacting health and wellbeing,Reduced/no car congestion,Bangkok,Traffic jam,2019,2018,"BMA, sourced from  https://www.grandprix.co.th/10 , opened 25 September 2019",Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,The count of main road traffic jams associated with each analysis area was recorded.,"11, 13",./data/Thai/_from BMA/20190930/transfer_1730651_files_296a713c/9 main Roads of Traffic Jam in Bangkok year 2018 by district and road _kn20190925.xlsx,cleaned,integer,,,,20190930,none specified,,area summary,district,Number of main road of traffic jam by district ,,#,,,,overall,,,,,,,,,,,district,,
